country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,delta.C13,sample.type,method&ID,latitude,longitude,east.cord,north.coord,material,species,life.span,domestic,citation.short,citation,source,comments,dataset
Spain,Murcia,4,Holocene,,La Bastida,,La Bastida ,,3398,14,0.00412007062978223,intcal20,KIA40099(2014),,Agregado,,37.75977,-1.55688,,,Semilla/fruto,Cereal,Corta,,Meadows et al. 2015,"Meadows, John, Matthias HÅls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in We",,misma muestra que KIA-40099(2009),Cortell2022
Spain,Murcia,4,Holocene,,La Bastida,"building 3, pithos burial 18","La Bastida building 3, pithos burial 18",,3423,14,0.00408997955010225,intcal20,KIA40100(2014),,NA,,37.75977,-1.55688,,,Semilla/fruto,Cereal,Corta,,Lull et al. 2015,"Lull, Vicente, Rafael Mic¢, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",,"misma muestra que KIA-40100(2009); media ponderada de mediciones de 3464Ò27, 3421Ò31, 3418Ò31 y 3390Ò26",Cortell2022
Spain,Murcia,4,Holocene,,La Bastida,,La Bastida ,,3669,14,0.00381575361133824,intcal20,KIA40101(2014),,Agregado,,37.75977,-1.55688,,,Semilla/fruto,Cereal,Corta,si,Meadows et al. 2015,"Meadows, John, Matthias HÅls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series."" Radiocarbon [0033-8222] 57(5):1041-1047",,misma muestra que KIA-40101(2009),Cortell2022
Spain,Almer°a,4,Holocene,,Fuente µlamo,Horizonte I / II (tumba 58),Fuente µlamo Horizonte I / II (tumba 58),,3631,14,0.00385568713852933,intcal20,KIA42492,,Singular,,37.24944,-1.85933,,,Hueso,Humano,Corta,,Lull et al. 2015,"Lull, Vicente, Rafael Mic¢, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040.",,,Cortell2022
Spain,Almer°a,4,Holocene,,Fuente µlamo,Horizonte I / II (tumba 58),Fuente µlamo Horizonte I / II (tumba 58),,3761,14,0.00372241425152885,intcal20,KIA42493,,Singular,,37.24944,-1.85933,,,Hueso,n.d,Corta,,Lull et al. 2015,"Lull, Vicente, Rafael Mic¢, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040.",,,Cortell2022
Spain,Murcia,4,Holocene,,La Bastida,,La Bastida ,,3604,15,0.00416204217536071,intcal20,KIA40098(2014),,Agregado,,37.75977,-1.55688,,,Semilla/fruto,Cereal,Corta,si,Meadows et al. 2015,"Meadows, John, Matthias HÅls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series."" Radiocarbon [0033-8222] 57(5):1041-1047",,misma muestra que KIA-40098(2009/2011),Cortell2022
Spain,Almer°a,4,Holocene,,Necr¢polis de los Millares,Tumba 74,Necr¢polis de los Millares Tumba 74,,4111,16,0.00389199708100219,intcal20,GrM14046,-19.9,Singular,,36.96318,-2.51404,,,Hueso,Humano,Corta,,Aranda et al. 2000,"Aranda, G., Diaz-Zorita, M., Hamilton, D., Milesi, L., S†nchez Romero, M. 2020. The radiocarbon chronology and temporality of the megalithc cementery of Los Millares (Almer°a, Spain).",,,Cortell2022
Spain,Granada,4,Holocene,,Panoria,"tumba 10, second section of the passage","Panoria tumba 10, second section of the passage",,3718,17,0.00457235072619688,intcal20,ETH69965,-19.8,Singular,,37.36833,-3.29472,,,Hueso,Humano,Corta,,Aranda et al. 2017,"Aranda JimÇnez, Gonzalo, µgueda Lozano Medina, Margarita S†nchez Romero, Marta D°az-Zorita Bonilla, & HervÇ Bocherens ( 2017) Chronology of Megalithic Funerary Practices in Southeastern Iberia: The Necropolis of Panoria (Granada, Spain). Radiocarbon [0033-8222] doi: 10.1017/RDC.2017.96.",,,Cortell2022
Spain,Almer°a,4,Holocene,,Necr¢polis de los Millares,Tumba 74,Necr¢polis de los Millares Tumba 74,,4198,17,0.00404954740352549,intcal20,GrM14657,-18.5,Singular,,36.96318,-2.51404,,,Hueso,Humano,Corta,,Aranda et al. 2000,"Aranda, G., Diaz-Zorita, M., Hamilton, D., Milesi, L., S†nchez Romero, M. 2020. The radiocarbon chronology and temporality of the megalithc cementery of Los Millares (Almer°a, Spain).",,,Cortell2022
Spain,Teruel,4,Holocene,,Cabezo Sellado,,Cabezo Sellado ,,3154,17,0.00538998097653773,intcal20,GrN18321,,NA,,41.167,-0.19828,,,Carbon,Carb¢n,Larga,,,,,,Cortell2022
