country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,delta.C13,sample.type,method&ID,latitude,longitude,east.cord,north.coord,material,species,life.span,domestic,citation.short,citation,source,comments,dataset
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3398,14,0.00412007062978223,intcal20,KIA40099(2014),NA,Agregado,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,NA,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in We",NA,misma muestra que KIA-40099(2009),Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,"building 3, pithos burial 18","La Bastida building 3, pithos burial 18",NA,3423,14,0.00408997955010225,intcal20,KIA40100(2014),NA,NA,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",NA,"misma muestra que KIA-40100(2009); media ponderada de mediciones de 3464±27, 3421±31, 3418±31 y 3390±26",Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3669,14,0.00381575361133824,intcal20,KIA40101(2014),NA,Agregado,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,si,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series."" Radiocarbon [0033-8222] 57(5):1041-1047",NA,misma muestra que KIA-40101(2009),Cortell2022
Spain,Almería,4,Holocene,NA,Fuente Álamo,Horizonte I / II (tumba 58),Fuente Álamo Horizonte I / II (tumba 58),NA,3631,14,0.00385568713852933,intcal20,KIA42492,NA,Singular,NA,37.24944,-1.85933,NA,NA,Hueso,Humano,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Fuente Álamo,Horizonte I / II (tumba 58),Fuente Álamo Horizonte I / II (tumba 58),NA,3761,14,0.00372241425152885,intcal20,KIA42493,NA,Singular,NA,37.24944,-1.85933,NA,NA,Hueso,n.d,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040.",NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3604,15,0.00416204217536071,intcal20,KIA40098(2014),NA,Agregado,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,si,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series."" Radiocarbon [0033-8222] 57(5):1041-1047",NA,misma muestra que KIA-40098(2009/2011),Cortell2022
Spain,Almería,4,Holocene,NA,Necrópolis de los Millares,Tumba 74,Necrópolis de los Millares Tumba 74,NA,4111,16,0.00389199708100219,intcal20,GrM14046,-19.9,Singular,NA,36.96318,-2.51404,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2000,"Aranda, G., Diaz-Zorita, M., Hamilton, D., Milesi, L., Sánchez Romero, M. 2020. The radiocarbon chronology and temporality of the megalithc cementery of Los Millares (Almería, Spain).",NA,NA,Cortell2022
Spain,Granada,4,Holocene,NA,Panoria,"tumba 10, second section of the passage","Panoria tumba 10, second section of the passage",NA,3718,17,0.00457235072619688,intcal20,ETH69965,-19.8,Singular,NA,37.36833,-3.29472,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2017,"Aranda Jiménez, Gonzalo, Águeda Lozano Medina, Margarita Sánchez Romero, Marta Díaz-Zorita Bonilla, & Hervé Bocherens ( 2017) Chronology of Megalithic Funerary Practices in Southeastern Iberia: The Necropolis of Panoria (Granada, Spain). Radiocarbon [0033-8222] doi: 10.1017/RDC.2017.96.",NA,NA,Cortell2022
Spain,Almería,4,Holocene,NA,Necrópolis de los Millares,Tumba 74,Necrópolis de los Millares Tumba 74,NA,4198,17,0.00404954740352549,intcal20,GrM14657,-18.5,Singular,NA,36.96318,-2.51404,NA,NA,Hueso,Humano,Corta,NA,Aranda et al. 2000,"Aranda, G., Diaz-Zorita, M., Hamilton, D., Milesi, L., Sánchez Romero, M. 2020. The radiocarbon chronology and temporality of the megalithc cementery of Los Millares (Almería, Spain).",NA,NA,Cortell2022
Spain,Teruel,4,Holocene,NA,Cabezo Sellado,NA,Cabezo Sellado,NA,3154,17,0.00538998097653773,intcal20,GrN18321,NA,NA,NA,41.167,-0.19828,NA,NA,Carbon,Carbón,Larga,NA,NA,NA,NA,NA,Cortell2022
Spain,València,4,Holocene,NA,Coveta Emparetá,NA,Coveta Emparetá,NA,3204,17,0.00530586766541823,intcal20,MAMS18663,NA,Singular,NA,38.7621,-0.5868,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3425,18,0.00525547445255474,intcal20,KIA50636,NA,Singular,NA,37.75977,-1.55688,NA,NA,Hueso,Humano,Corta,NA,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in We",NA,misma muestra que KIA-39261,Cortell2022
Spain,Murcia,4,Holocene,NA,Tira del Lienzo,"buildng 7, floor level","Tira del Lienzo buildng 7, floor level",NA,3496,18,0.0051487414187643,intcal20,MAMS13123,NA,NA,NA,37.79472,-1.49055,NA,NA,Semilla/fruto,Pistacea sp.,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040.",NA,repetición de KIA-43101-A,Cortell2022
Spain,Murcia,4,Holocene,NA,Tira del Lienzo,granary H2,Tira del Lienzo granary H2,NA,3513,18,0.00512382578992314,intcal20,MAMS13125,NA,NA,NA,37.79472,-1.49055,NA,NA,Semilla/fruto,Pistacea sp.,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",NA,NA,Cortell2022
Spain,València,4,Holocene,NA,Coveta Emparetá,NA,Coveta Emparetá,NA,3366,18,0.0053475935828877,intcal20,MAMS18664,NA,NA,NA,38.7621,-0.5868,NA,NA,Hueso,Humano,Corta,NA,NA,NA,NA,NA,Cortell2022
Spain,Murcia,4,Holocene,NA,La Bastida,NA,La Bastida,NA,3402,19,0.00558495002939447,intcal20,KIA40099(2009),NA,NA,NA,37.75977,-1.55688,NA,NA,Semilla/fruto,Cereal,Corta,NA,Meadows et al. 2015,"Meadows, John, Matthias Hüls, & Ralph Schneider ( 2015 ) Accuracy and Reproducibility of 14C Measurements at the Leibniz-Labor (Kiel): A First Response to Lull et al., ""When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in We",NA,misma muestra que KIA-40099(2014),Cortell2022
Spain,Murcia,4,Holocene,NA,Tira del Lienzo,"buildding 7, floor level","Tira del Lienzo buildding 7, floor level",NA,3508,19,0.00541619156214367,intcal20,MAMS13124,NA,NA,NA,37.79472,-1.49055,NA,NA,Semilla/fruto,Pistacea sp.,Corta,NA,Lull et al. 2015,"Lull, Vicente, Rafael Micó, Cristina Rihuete Herrada, & Roberto Risch (2015a) When 14C Dates Fall Beyond the Limits of Uncertainty: An Assessment of Anomalies in Western Mediterranean Bronze Age 14C Series. Radiocarbon [0033-8222] 57(5):1029-1040",NA,repetición de KIA-43101['13],Cortell2022
Spain,València,4,Holocene,NA,Cova del Forat de l'Aire Calent,-,Cova del Forat de l'Aire Calent -,NA,4230,19,0.00449172576832151,intcal20,MAMS18661,NA,NA,NA,38.94399,-0.27639,NA,NA,Hueso,Hueso,Corta,NA,NA,NA,NA,NA,Cortell2022
