ID,period,undiag.lithics,burins,notch.dent,MP.tools,dent.sickle,blade.tech,end.scraper,ret.blade,invret.blade,microburin,backed,trapeze,triangle,truncation,bifacial.pt,flake.core,total.lithics,citation
Clot de l'Hospital,EPI,36,3,15,0,0,0,44,0,0,0,46,0,0,14,0,0,158,"Bosch et al., 2015; Bosch, 2016"
Forcas I (10),EPI,38,220,15,11,0,23,146,27,0,0,251,2,2,19,0,0,754,"Utrilla y Mazo, 2014"
La Roureda 7,EPI,17,5,12,1,0,10,9,0,0,0,0,0,0,19,0,0,73,"Roman, 2010"
Cova dels Diablets Q1N1,EPI,1,0,7,1,0,0,0,1,0,0,3,0,0,4,0,0,17,"Roman, 2010"
Filador 7,MESO,218,10,15,0,0,0,87,0,0,257,212,28,69,10,0,0,906,"García-Argüelles et al., 2005"
Filador 5-6,MESO,31,3,12,0,0,0,59,0,0,199,71,59,35,0,0,0,469,"García-Argüelles et al., 2005"
Botiqueria 2,MESO,91,5,82,0,0,0,24,6,0,29,34,57,10,18,0,0,356,"Barandiarán, 78"
Cocina I,MESO,2,0,36,0,0,5,8,6,0,0,5,36,1,33,0,0,132,"Fortea, 73; García-Puchol, 2005"
Benamer I,MESO,12,0,238,0,0,0,10,32,0,0,12,104,3,23,0,0,434,"Jover, 2011"
Forcas II (II),MESO,18,0,11,0,0,0,5,2,0,13,5,6,6,0,0,0,66,"Utrilla y Mazo, 2014"
Cocina II,MESO,5,0,39,0,0,1,0,1,0,0,4,17,33,14,0,0,114,"Fortea, 73; García-Puchol, 2005"
Mas Cremat VI-V,MESO,39,8,12,0,0,0,12,0,0,9,23,4,4,9,1,0,121,"Vizcaíno-León, 2010"
Botiqueria 4,MESO,294,0,25,0,0,52,13,9,0,11,12,8,13,4,0,0,441,"Barandiarán, 78"
Forcas II (IV),MESO,18,0,11,0,0,0,5,2,0,13,5,6,6,0,0,0,66,"Utrilla y Mazo, 2014"
Chaves Ib,ENEOL,940,2,74,0,0,264,19,192,40,1,12,17,13,36,0,0,1610,"Cava, 2000, Baldellou, 2011"
La Draga,ENEOL,574,1,40,1,0,221,5,42,7,0,0,14,0,4,0,0,909,"Palomo, 2000"
Benamer II,ENEOL,344,0,14,0,2,50,3,4,0,0,0,4,0,1,0,38,460,"Jover, 2011"
Forcas II (V),ENEOL,25,1,5,0,0,0,6,4,0,13,22,4,12,0,0,0,92,"Utrilla y Mazo, 2014"
"Cova de les Cendres, F6",ENEOL,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H14",MNEOL,16,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,20,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H15",ENEOL,69,0,0,0,0,29,0,6,0,0,0,0,1,2,0,0,107,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H16",ENEOL,66,0,0,1,0,16,0,2,0,0,0,0,0,0,0,0,85,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H17",ENEOL,38,0,0,1,0,11,0,2,0,0,0,1,0,0,0,0,53,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H18",ENEOL,94,0,4,2,0,24,0,6,0,0,0,3,0,0,0,0,133,"Bernabeu & Molina, 2009"
"Cova de les Cendres, H19",ENEOL,149,0,0,1,0,23,0,3,0,0,0,1,0,0,0,0,177,"Bernabeu & Molina, 2009"
Chaves Ia2,ENEOL,294,0,16,0,0,52,7,56,0,2,2,1,0,8,0,0,438,"Cava, 2000, Baldellou, 2011"
Costamar NII,ENEOL,3562,6,56,0,0,776,0,313,20,1,0,6,4,29,0,0,4773,"Flors, 2009"
Plansallosa I,ENEOL,1,0,1,0,0,0,0,2,0,0,0,3,1,2,0,0,10,Alcalde et al. 1991
Plansallosa II,MNEOL,17,0,3,1,0,0,4,7,0,0,0,1,1,1,0,0,35,Alcalde et al. 1991
Mas Duran (S G17),MNEOL,1,0,0,0,0,3,0,1,0,0,1,2,0,0,0,0,8,"Plasencia, 2016"
