ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
1,Cocina/Catadau,0,3,0,6,7562.488281,Cocina/Catadau-0-3-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,7.933896592044188e-7,1.7212325217786131e-12,5.507944069691562e-12,3.442465043557226e-11,3.9342457640654014e-11,5.507944069691562e-11,1.1474883478524088e-10
2,Cocina/Catadau,0,3,0,2,9551.296875,Cocina/Catadau-0-3-0,ENEOL,0.17274669946194504,0.21919840213219827,0.03288970532391585,0.08178328566306278,0.33004359025858926,0.16333831716028913,2.0939564816950577e-7,4.5215508878720994e-11,1.8359676596876654e-10,1.721740291101351e-10,4.892875460242537e-10,2.7643876602555232e-9,2.850194399391254e-9
3,Cocina/Catadau,0,3,0,3,12512.24023,Cocina/Catadau-0-3-0,ENEOL,0.22695498641308914,0.20726112829492438,0.03814639466631948,0.09054617991167133,0.29512655729155624,0.1419647534224397,2.397652174873564e-7,6.801988959646792e-11,1.987760380092297e-10,2.2865446533821556e-10,6.202807005477479e-10,2.8304433278121893e-9,2.8365174983225146e-9
5,Cocina/Catadau,0,1,0,2,7259.029053,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.755189413621982e-7,5.977291949004886e-13,1.9127334236815634e-12,1.1954583898009772e-11,1.3662381597725455e-11,1.9127334236815636e-11,3.9848612993365906e-11
6,Cocina/Catadau,0,2,0,7,8256.769775,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.477891706747993e-7,1.8392504556215882e-12,5.885601457989082e-12,3.678500911243176e-11,4.204001041420773e-11,5.885601457989082e-11,1.2261669704143923e-10
8,Cocina/Catadau,0,1,0,7,4794.033203,Cocina/Catadau-0-1-0,ENEOL,0.08445177047022318,0.28873047480084574,0.027865714840714827,0.06968694857430155,0.4223647611212315,0.10690033019268319,1.4601484185840755e-6,1.541401488734021e-10,1.6863573847099367e-9,1.0172019864346139e-9,2.9072367930490344e-9,2.466860952067228e-8,1.3007529006413487e-8
13,Cocina/Catadau,0,2,0,1,2505.640137,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.990996094105113e-7,8.658333508346386e-13,2.7706667226708436e-12,1.7316667016692773e-11,1.9790476590506026e-11,2.7706667226708436e-11,5.7722223388975905e-11
15,Cocina/Catadau,0,1,0,4,9067.011963,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.411596693952658e-7,9.570812544011079e-13,3.062660014083545e-12,1.9141625088022156e-11,2.1876142957739607e-11,3.062660014083545e-11,6.380541696007386e-11
17,Cocina/Catadau,0,1,0,12,2629.141113,Cocina/Catadau-0-1-0,ENEOL,0.17274669946194504,0.21919840213219827,0.03288970532391585,0.08178328566306278,0.33004359025858926,0.16333831716028913,4.5642281962976555e-6,9.855691956269582e-10,4.001886110380686e-9,3.752903010183446e-9,1.066507366883477e-8,6.025577042662254e-8,6.212611272656674e-8
19,Cocina/Catadau,0,1,0,1,6826.453125,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.4648895725040227e-7,3.1780292870676863e-13,1.0169693718616597e-12,6.356058574135373e-12,7.2640669418689976e-12,1.0169693718616596e-11,2.1186861913784575e-11
